id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
269467,https://www.airbnb.com/rooms/269467,20240615011618,2024-06-15,city scrape,Sunny and quiet Loft next to Sagrada Familia,"The apartment is a cosy open space with 65 m2. The living room and a bedroom areas look onto the quite balcony facing to south (a lot of sun). The loft has also a dinning area with a big table and a good desk area with books about Barcelona. There is a high quality internet service and a single folding bed. The bedroom area has a double bed and wardrobe, the living area has a sofa, TV and Hi-Fi. There is a separate kitchen-",,https://a0.muscache.com/pictures/a6445a90-94eb-4fd5-81ab-38d829fc82fb.jpg,1411775,https://www.airbnb.com/users/show/1411775,Jeremies,2011-11-16,"Barcelona, Spain","We are Ok Apartment Barcelona, a local agency specialised in monthly rentals.  Our office is centraly located in Carrer Villarroel 1, close to Plaça Universitat. Find our webiste and look at a wide and cheaper offer of apartments.",within an hour,100%,88%,f,https://a0.muscache.com/im/pictures/user/1f974220-544b-4504-8031-461152ea288e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1f974220-544b-4504-8031-461152ea288e.jpg?aki_policy=profile_x_medium,La Sagrada Família,5,7,"['email', 'phone']",t,t,,la Sagrada Família,Eixample,41.40181,2.1761,Entire loft,Entire home/apt,2,1.0,1 bath,1,1,"[""Kitchen"", ""Patio or balcony"", ""Host greets you"", ""Hair dryer"", ""Coffee maker"", ""Essentials"", ""Cooking basics"", ""Washer"", ""Refrigerator"", ""Hangers"", ""Dishwasher"", ""Iron"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Stove"", ""Central air conditioning"", ""Dedicated workspace"", ""Hot water"", ""Oven"", ""Microwave"", ""TV""]",$176.00,7,760,7,7,760,760,7.0,760.0,,t,0,0,0,257,2024-06-15,90,17,1,2018-01-01,2024-05-22,4.74,4.87,4.59,4.83,4.79,4.81,4.67,HUTB-001129,t,3,3,0,0,1.15
270197,https://www.airbnb.com/rooms/270197,20240615011618,2024-06-15,city scrape,*monthly stays* 4 Bedroom Apartment near Rambla,Rented only for monthly periods. 4 bedroom apartment located in the heart of Barcelona next to la Rambla and Liceu thater one of the most active areas in Barcelona a great place to live and enjoy the city. Please consider it is a second floor and there is no elevator. There are 4 rooms and one bed in each room so it would be ideal for 4 people,,https://a0.muscache.com/pictures/69907440-d8df-4084-8f2a-2e72b73de168.jpg,1414702,https://www.airbnb.com/users/show/1414702,Ferran,2011-11-16,"Barcelona, Spain","Hello, everyone!

Born and bred in Barcelona, after many years as an Airbnb host, I decided to become a property manager. I launched my own business in 2014, called bedandBCN, in which I aim to offer you the best accommodation to explore my beloved city at a reasonable price. 

Do check our profile to find the best fit for you, and don't hesitate to contact us if you have any questions!",within an hour,98%,97%,f,https://a0.muscache.com/im/pictures/user/User-1414702/original/d1367460-3095-4ac5-876d-2d247b860090.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-1414702/original/d1367460-3095-4ac5-876d-2d247b860090.jpeg?aki_policy=profile_x_medium,El Raval,36,112,"['email', 'phone']",t,t,,el Raval,Ciutat Vella,41.37936,2.17376,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,4,5,"[""Kitchen"", ""Washer"", ""Smoking allowed"", ""Wifi"", ""TV""]",$74.00,32,760,32,32,760,760,32.0,760.0,,t,0,0,0,0,2024-06-15,2,0,0,2016-07-03,2016-08-13,4.0,5.0,4.5,5.0,5.0,5.0,4.5,N/A SOLO ESTANCIAS MENSUALES,f,27,27,0,0,0.02
18674,https://www.airbnb.com/rooms/18674,20240615011618,2024-06-15,city scrape,Huge flat for 8 people close to Sagrada Familia,"110m2 apartment to rent in Barcelona. Located in the Eixample district, near the Sagrada Familia. It has a small balcony where you can see the temple of Gaudi. Capacity for 8 people. <br /><br />Licence number: HUTB-002062","Apartment in Barcelona located in the heart of Eixample district, within only 150 m form the great Sagrada Familia and really near of Gaudí Avenue and the famous Sant Pau Hospital . <br />All kind of services in surroundings (shops, supermarkets, restaurants, bars).",https://a0.muscache.com/pictures/13031453/413cdbfc_original.jpg,71615,https://www.airbnb.com/users/show/71615,Mireia  Maria,2010-01-19,"Barcelona, Spain","We are Mireia (47) & Maria (49), two multilingual entrepreneurs loving Barcelona and having big experience in the touristic market.
Ana and Beka from reservation department will attend you
and feel youself like at home. The location of our flats perfectly suites for travelling and sightseeing.

We are looking forward to sincerely host you in our apartments.",within an hour,95%,85%,f,https://a0.muscache.com/im/pictures/user/User-71615/original/ef6beed8-ebe5-4ab3-9798-11fd00a07a6f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-71615/original/ef6beed8-ebe5-4ab3-9798-11fd00a07a6f.jpeg?aki_policy=profile_x_medium,la Sagrada Família,41,45,"['email', 'phone']",t,t,"Barcelona, CT, Spain",la Sagrada Família,Eixample,41.40556,2.17262,Entire rental unit,Entire home/apt,8,2.0,2 baths,3,6,"[""Pack \u2019n play/Travel crib"", ""Free street parking"", ""Kitchen"", ""Host greets you"", ""City skyline view"", ""Elevator"", ""Crib"", ""Hair dryer"", ""AC - split type ductless system"", ""Coffee maker"", ""Essentials"", ""Private patio or balcony"", ""Refrigerator"", ""Shampoo"", ""Paid parking on premises"", ""Hangers"", ""Free washer \u2013 In unit"", ""Iron"", ""Dishes and silverware"", ""30 inch TV"", ""Wifi"", ""Heating"", ""Hot water""]",$257.00,1,1125,1,4,1125,1125,2.1,1125.0,,t,10,36,66,177,2024-06-15,41,5,0,2013-05-27,2024-05-02,4.35,4.45,4.63,4.75,4.68,4.78,4.3,HUTB-002062,t,27,27,0,0,0.30
272282,https://www.airbnb.com/rooms/272282,20240615011618,2024-06-15,previous scrape,"CHARMING, VERY SPACIOUS & BEST LOCATED",Very spacious apartment located in a modernist luxury building. Only a 10m walk to Plaza Catalunya and main sights. Fully equipped. 3 double bedrooms + 2 complete bathrooms + Giant living room & kitchen. Luxury details in a unique Barcelona style decoration.,"Eixample is famous for being home to the majority of Barcelona's art nouveau masterpieces, and a high-class residential and shopping area.<br />Passeig de Gràcia is the heart of Eixample and the line that cuts the area into two from ""Eixample left"" and ""Eixample right"".<br /><br />Here you will find most of Barcelona's international designer shops such as Chanel and MaxMara. Also along this road are La Pedrera and Casa Batlló, two of Gaudí's characteristically dreamlike buildings. There are many interesting art galleries in the area and if art appeals then be sure to have a look in Fundacion Antoni Tapies which is just off Passeig de Gràcia and has a permanent collection of this Catalan artist's work.<br /><br />Eixample is a safe and residential part of the city but there is also a vibrant nightlife and a thriving café culture. Eixample is a beautiful barrio to wander round, take in the glorious architecture and people-watch from one of the many terrace cafes.<br /><br />It is in Eixa",https://a0.muscache.com/pictures/monet/Select-272282/original/9eabdb12-d521-4e42-9196-e60c572e3bc0,1425070,https://www.airbnb.com/users/show/1425070,Mar,2011-11-20,"Barcelona, Spain","I hope you feel at home at my place!

Born and raised in Barcelona. I have two wonderful boys and I love to travel and met new people. I am a jewelry designer and you can shop my collection at lacuna.shop. My guests enjoy a 15% discount!

My place is charming and cozy. It is fully renovated but with very unique old modernist elements. This is not an apartment designed for tourists but a real home and I think this makes a difference!.",N/A,N/A,98%,t,https://a0.muscache.com/im/pictures/user/c9512384-ba1b-485e-8306-09ad96f7dcda.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c9512384-ba1b-485e-8306-09ad96f7dcda.jpg?aki_policy=profile_x_medium,La Nova Esquerra de l'Eixample,2,2,"['email', 'phone']",t,t,"Barcelona, Catalunya, Spain",l'Antiga Esquerra de l'Eixample,Eixample,41.38347,2.15802,Entire rental unit,Entire home/apt,8,,2 baths,3,,"[""Pack \u2019n play/Travel crib"", ""Kitchen"", ""Dining table"", ""Host greets you"", ""Elevator"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Crib"", ""Extra pillows and blankets"", ""Hair dryer"", ""Air conditioning"", ""Long term stays allowed"", ""TV with standard cable"", ""Essentials"", ""Hot water kettle"", ""Private patio or balcony"", ""Cooking basics"", ""Washer"", ""Baby bath"", ""Refrigerator"", ""Pocket wifi"", ""Shampoo"", ""Game console"", ""Bathtub"", ""Children\u2019s dinnerware"", ""Hangers"", ""Children\u2019s books and toys"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Ceiling fan"", ""Bed linens"", ""Wifi"", ""Heating"", ""Stove"", ""Oven"", ""Smoke alarm"", ""Baby monitor"", ""Microwave"", ""Coffee maker: espresso machine"", ""High chair"", ""Hot water"", ""Body soap"", ""Pets allowed""]",,4,1125,3,3,1125,1125,3.0,1125.0,,t,0,0,0,0,2024-06-15,414,32,0,2012-07-03,2024-03-18,4.92,4.93,4.97,4.94,4.96,4.84,4.8,HUTB003208,f,1,1,0,0,2.84
23197,https://www.airbnb.com/rooms/23197,20240615011618,2024-06-15,city scrape,"Forum CCIB DeLuxe, Spacious, Large Balcony, relax","Beautiful spacious apartment, large terrace, 5 minutes walk from the CCIB center, sea, Port Forum.<br />Excellent location to combine business with pleasure, ideal for families<br />Relax on the large terrace for a quiet dinner or a nice glass of wine or cold beer away from the hustle and bustle of the center of Barcelona and the tourist crowds.","Strategically located in the Parc del Fòrum, a spacious area where all kinds of music festivals and events are held throughout the year.<br />The CCIB (Barcelona Internation Convention Center) is just down the road,<br />Go over the road and cut through the park and you will arrive at the Port Forum Marina, and the beautiful Platja del Forum beach, surrounded by beautiful parks, a lovely spacious area for walking, cycling...<br />The Forum bathing area on the other side of the beach has wheelchair access for bathing.<br />The tram (just outside the apartment) & Metro (5 minutes walk) takes you everywhere, very quickly and conveniently into the city center and other areas of Barcelona.<br />The area is great for people wanting to stay away from the busy touristy areas of Barcelona, but accessible within minutes.",https://a0.muscache.com/pictures/miso/Hosting-23197/original/0820d261-5f12-4ac9-8604-fefa1c5ec62a.jpeg,90417,https://www.airbnb.com/users/show/90417,Etain (Marnie),2010-03-09,"Catalonia, Spain","Hi there, 
I'm marnie from Australia, though I have been living in Spain for many years.
My lovely co-host, Jake and I will do our best to make sure you have a great stay at our properties and help you enjoy them to the fullest!
Feel free to reach out to us here if you have any questions regarding our listings.

Cheers",within an hour,100%,87%,f,https://a0.muscache.com/im/pictures/user/44b56b17-e3c1-4fc9-a036-09edc5a0bbee.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/44b56b17-e3c1-4fc9-a036-09edc5a0bbee.jpg?aki_policy=profile_x_medium,El Besòs i el Maresme,6,13,"['email', 'phone']",t,t,"Sant Adria de Besos, Barcelona, Spain",el Besòs i el Maresme,Sant Martí,41.41243172529066,2.219750335269476,Entire rental unit,Entire home/apt,5,2.0,2 baths,3,4,"[""Free street parking"", ""Neutral body soap"", ""Cleaning products"", ""Kitchen"", ""Dining table"", ""Host greets you"", ""City skyline view"", ""Elevator"", ""Room-darkening shades"", ""43 inch HDTV with Amazon Prime Video"", ""Hair dryer"", ""AC - split type ductless system"", ""Books and reading material"", ""Long term stays allowed"", ""Essentials"", ""Hot water kettle"", ""Private patio or balcony"", ""Private backyard \u2013 Fully fenced"", ""Cooking basics"", ""Waterfront"", ""Wine glasses"", ""Toaster"", ""Private entrance"", ""Refrigerator"", ""Freezer"", ""Drying rack for clothing"", ""Hangers"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Shower gel"", ""Ceiling fan"", ""Bed linens"", ""Wifi"", ""Coffee maker: drip coffee maker, Nespresso"", ""Dedicated workspace"", ""Paid parking garage on premises \u2013 1 space"", ""Coffee"", ""Paid parking off premises"", ""Oven"", ""Outdoor furniture"", ""Clothing storage: closet"", ""Smoke alarm"", ""Portable heater"", ""Heating - split type ductless system"", ""Microwave"", ""Bidet"", ""Shared beach access"", ""Electric stove"", ""Hot water"", ""Outdoor dining area""]",$249.00,3,32,1,7,1125,1125,3.7,1125.0,,t,10,20,38,178,2024-06-15,78,7,1,2011-03-15,2024-05-20,4.79,4.93,4.89,4.95,4.99,4.62,4.64,HUTB005057,f,1,1,0,0,0.48
32711,https://www.airbnb.com/rooms/32711,20240615011618,2024-06-15,city scrape,Sagrada Familia area - Còrsega 1,A lovely two bedroom apartment only 250 m from Barcelona's iconic Sagrada Familia.,What's nearby  <br />This apartment is located in central Barcelona only 250m from the famous Sagrada Familia. <br />There are four supermarkets and all normal shops within a 100m radius as well as several secure public car parks. There are also plenty of bars and restaurants very close by.,https://a0.muscache.com/pictures/357b25e4-f414-48c5-aad0-e89342b1daa2.jpg,135703,https://www.airbnb.com/users/show/135703,Nick,2010-05-31,"Barcelona, Spain","I'm Nick your English host in Barcelona.

I'm a full time host with several holiday rental apartments that are all within five minutes walking of my own home. Consequently, I am available at all times to help you during your stay.

All my properties are licensed and officially registered with the 'Direccío General de Turisme of Catalunya'.

I can also provide many optional services like, airport or cruise port pickup and garage parking, and activities such as, sailing trips, jet ski or fly board rides, Segway tours, and bike or scooter hire, to name but a few. If you need something special, just ask, and if I can organise it for you, I will.

If you are looking for a place in Barcelona that is centrally located and very well communicated, try one of my apartments or my yachts.",within an hour,100%,99%,f,https://a0.muscache.com/im/users/135703/profile_pic/1346864531/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/135703/profile_pic/1346864531/original.jpg?aki_policy=profile_x_medium,Camp d'en Grassot i Gràcia Nova,2,15,"['email', 'phone', 'work_email']",t,t,"Barcelona, Catalonia, Spain",el Camp d'en Grassot i Gràcia Nova,Gràcia,41.40566,2.17015,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,2,3,"[""Pack \u2019n play/Travel crib"", ""Kitchen"", ""Patio or balcony"", ""First aid kit"", ""City skyline view"", ""Elevator"", ""Carbon monoxide alarm"", ""Crib"", ""Hair dryer"", ""AC - split type ductless system"", ""Long term stays allowed"", ""Coffee maker"", ""Essentials"", ""Cooking basics"", ""Washer"", ""26 inch HDTV with standard cable"", ""Refrigerator"", ""Self check-in"", ""Shampoo"", ""Luggage dropoff allowed"", ""Hangers"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Laundromat nearby"", ""Wifi"", ""Heating"", ""Stove"", ""Dedicated workspace"", ""Paid parking off premises"", ""Oven"", ""Smoke alarm"", ""Smart lock"", ""Microwave"", ""High chair"", ""Hot water""]",$240.00,1,31,1,1,31,31,1.0,31.0,,t,4,6,21,204,2024-06-15,121,30,1,2011-07-17,2024-06-05,4.46,4.45,4.39,4.88,4.88,4.87,4.5,HUTB-001722,f,2,2,0,0,0.77
273229,https://www.airbnb.com/rooms/273229,20240615011618,2024-06-15,city scrape,Confortable and very well located,,"Family neighborhood, central and very well connected. The neighborhood has all kinds of services, very close to trendy restaurants, the Sant Antoni market, Montjuïc, Plaça España.",https://a0.muscache.com/pictures/miso/Hosting-273229/original/9a0fc152-f336-41b0-8b3f-9bd15fc5e6e2.jpeg,1429552,https://www.airbnb.com/users/show/1429552,Marta,2011-11-21,"Barcelona, Spain","Hola, 

Estaré encantada de recibir vuestra visita y atenderos a vuestra llegada. Si necesitáis más información sobre el apartamento o sobre mi ciudad no dudéis en preguntar. Hasta pronto!",within an hour,100%,98%,t,https://a0.muscache.com/im/users/1429552/profile_pic/1321904625/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1429552/profile_pic/1321904625/original.jpg?aki_policy=profile_x_medium,Sant Antoni,1,8,"['email', 'phone']",t,t,"Barcelona, Catalonia, Spain",Sant Antoni,Eixample,41.3778,2.1582,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Pack \u2019n play/Travel crib"", ""Kitchen"", ""First aid kit"", ""Elevator"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Coffee maker"", ""Essentials"", ""Private patio or balcony"", ""Cooking basics"", ""Washer"", ""Refrigerator"", ""Shampoo"", ""Iron"", ""Dishes and silverware"", ""Bed linens"", ""Wifi"", ""Heating"", ""Hot water"", ""Oven"", ""Microwave"", ""High chair"", ""TV""]",$126.00,7,1125,3,4,1125,1125,4.0,1125.0,,t,4,4,12,68,2024-06-15,174,14,3,2012-05-16,2024-06-05,4.65,4.77,4.74,4.76,4.81,4.78,4.56,HUTB-004121,f,1,1,0,0,1.18
34241,https://www.airbnb.com/rooms/34241,20240615011618,2024-06-15,city scrape,Stylish Top Floor Apartment - Ramblas Plaza Real,"Located in close proximity to Plaza Real and Las Ramblas, this elegantly designed apartment features an expansive balcony. Positioned in the vibrant heart of the Gothic Quarter, a mere short distance from Las Ramblas, Gaudí's Palau Güell, and the Liceu Opera House, and just a brief walk from the Cathedral, it serves as an ideal starting point, with Barceloneta beach reachable within a 10-minute stroll.",,https://a0.muscache.com/pictures/2437facc-2fe7-431b-8b83-d91b40329184.jpg,73163,https://www.airbnb.com/users/show/73163,Andres,2010-01-24,"Barcelona, Spain","Hello I am a Professional designer, a traveler, an entrepreneur. I try always to find a solution. ",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/9cbe747a-b0e0-479b-9a9e-6a26400c4a75.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9cbe747a-b0e0-479b-9a9e-6a26400c4a75.jpg?aki_policy=profile_x_medium,El Gòtic,4,4,"['email', 'phone', 'work_email']",t,t,,el Barri Gòtic,Ciutat Vella,41.38062,2.17517,Entire condo,Entire home/apt,2,1.0,1 bath,1,1,"[""Kitchen"", ""Dining table"", ""Elevator"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Air conditioning"", ""Long term stays allowed"", ""Coffee maker"", ""TV with standard cable"", ""Hot water kettle"", ""Cooking basics"", ""Wine glasses"", ""Toaster"", ""Refrigerator"", ""Freezer"", ""Drying rack for clothing"", ""Hangers"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Iron"", ""Dishes and silverware"", ""Bed linens"", ""Wifi"", ""Heating"", ""Stove"", ""Dedicated workspace"", ""Oven"", ""Sound system"", ""Microwave"", ""Bidet"", ""Ethernet connection"", ""Hot water""]",$229.00,5,120,4,5,120,120,5.0,120.0,,t,10,40,70,70,2024-06-15,13,5,0,2010-07-10,2024-05-06,4.2,4.4,4.4,4.3,4.7,4.6,4.0,Exempt,f,3,3,0,0,0.08
273932,https://www.airbnb.com/rooms/273932,20240615011618,2024-06-15,city scrape,Oriental Design apartment,"This bright and relaxing apartment is one of the best choices in Barcelona.<br />You will be seduced by its warm colors and wood furniture. In the large living room, an oriental Indian style decoration contributes to create a peaceful atmosphere ideal to relax after a long day of sightseeing.","The Eixample area of Barcelona was built on the nineteenth century. It is the birthplace of the Artistic Modernist movement of Antoni Gaudi which is its main reference.<br /><br />In this area you can find the impressive Sagrada Familia, the two famous Gaudí houses, La Pedrera and Casa Batlló, the Manzana de la Discordia and the Hospital de la Santa Creu i Sant Pau.<br /><br />A large part of the appeal of the Eixample is the mythical avenue Passeig de Gràcia, one of the most famous avenues in Spain due to its importance for shopping, business and a great showcase of outstanding works of modernist architecture is compared to the Champs Elysees in Paris or Fifth Avenue in New York.<br /><br />This area is full of great modernist works, such as Gaudi's Casa Batlló, Casa de Puig i Cadafalch Amatller and Lleo Morera by Domènech i Muntaner well known as the Manzana de la Discordia.<br /><br />Also in this area you can find the University of Barcelona, which is an elegant building with beaut",https://a0.muscache.com/pictures/67849353/d8061e8b_original.jpg,1432835,https://www.airbnb.com/users/show/1432835,Angel,2011-11-22,,"Hi everyone! I'm an easygoing person who loves to travel and to meet people all around the world. 
My apartment is ideal if you want to visit the city I know Barcelona well and will be able to help you to go to the best spots in the city.
See you soon ;-)",within an hour,100%,94%,t,https://a0.muscache.com/im/users/1432835/profile_pic/1389434332/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1432835/profile_pic/1389434332/original.jpg?aki_policy=profile_x_medium,L'Antiga Esquerra de l'Eixample,42,46,"['email', 'phone']",t,t,"Barcelona, Catalonia, Spain",l'Antiga Esquerra de l'Eixample,Eixample,41.3895,2.15769,Entire rental unit,Entire home/apt,4,2.0,2 baths,2,2,"[""Pack \u2019n play/Travel crib"", ""Courtyard view"", ""Kitchen"", ""Host greets you"", ""City skyline view"", ""Elevator"", ""Carbon monoxide alarm"", ""45 inch HDTV"", ""Hair dryer"", ""AC - split type ductless system"", ""Coffee maker"", ""Essentials"", ""Induction stove"", ""Cooking basics"", ""Refrigerator"", ""Shampoo"", ""Paid parking on premises"", ""Hangers"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Iron"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Free dryer \u2013 In unit"", ""Oven"", ""Smoke alarm"", ""Microwave"", ""Hot water"", ""Pets allowed""]",$281.00,3,365,2,4,365,365,3.3,365.0,,t,2,13,32,154,2024-06-15,295,46,2,2012-02-07,2024-06-02,4.71,4.81,4.7,4.78,4.88,4.89,4.63,HUTB-004184,f,41,41,0,0,1.96
274221,https://www.airbnb.com/rooms/274221,20240615011618,2024-06-15,city scrape,mr1 Gothic Happy Guests & Hammock City Center,"Beautiful charming and comfortable spacious apartment located in central Barcelona, in the Gothic Quarter,  a very nice and safe neighbourhood. This is a nice 2 bedroom apartment in a perfect location in the city!","HAPPY NEIGHBOURHOOD<br /><br />Located behind Paseo de Colon, this apartment will be your focal point from which you can map out where and what you want to see in Barcelona. The high standard and quality of the apartment, combined with the calm of the area, makes it a fantastic choice for your visit to Barcelona.<br /><br />Situated next to the main Postal Office in Barcelona, the location of this apartment is ideal. Right on the edge of the Gothic Quarter, which really is the true heart of Barcelona, all the places of interest are within easy walking distance such as the Gothic Quarter, Las Ramblas, Port Vell - the port and the beaches and the very trendy ""El Born"", which is full of great cafés, bars and restaurants. <br /><br />The Gothic area is where medieval and modern Barcelona meet. The historical (mainly Gothic) buildings house anything from traditional ""Tapas"" bars to chic boutiques. Some of the great landmarks within walking distance include: the Barcelona Cathedral, the amaz",https://a0.muscache.com/pictures/3011359/5b12887a_original.jpg,1447144,https://www.airbnb.com/users/show/1447144,Acomodis Apartments,2011-11-27,"Barcelona, Spain","We are ""ACOMODIS"" apartments in Barcelona!
We are a Catalan and Venezuelan couple with 3 daughters and we started using airbnb as our personal account. But since we were getting more apartments to manage we founded our small “family agency” called “ACOMODIS”. We are part of a happy team and we all work full time managing short term rentals and organizing cooking activities. We absolutely love what we do and we are more than happy to meet amazing people from all around the world and ensure our guests enjoy this incredible city. We are happy when our guests are happy!
ACOMODIS APARTMENTS - Self-catering apartments in Barcelona - The easy and secure place to book quality vacation apartments. Always great deals, always great service from ACOMODIS!

Hola amigos,
In order to help you, I and my wife offer a wide variety of apartments in Barcelona to make it easier for you to enjoy a pleasant stay and experience.
In addition to trust us in regard to housing, we believe the most important is to have a nice experience and maximize what Barcelona has to offer. That's why we invite you to apply for any information you need before and during your stay to enjoy as ever. 
Also, if you want to enjoy a very special gastronomic activity do not hesitate to ask for information.
We speak English, French, Spanish, Catalan and on the telephone.
We are happy because we love what we do!",within a few hours,81%,19%,f,https://a0.muscache.com/im/pictures/user/f1ba627d-3c72-4140-8415-f63c7ca17a33.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f1ba627d-3c72-4140-8415-f63c7ca17a33.jpg?aki_policy=profile_x_medium,El Poble-sec,212,393,"['email', 'phone']",t,t,"Barcelona, Catalonia, Spain",el Barri Gòtic,Ciutat Vella,41.37938,2.18111,Entire rental unit,Entire home/apt,5,1.0,1 bath,2,5,"[""Kitchen"", ""Elevator"", ""Fire extinguisher"", ""Washer"", ""Wifi"", ""Air conditioning"", ""Heating"", ""TV""]",$393.00,1,365,1,1,365,365,1.0,365.0,,t,30,60,90,365,2024-06-15,13,0,0,2012-03-03,2015-05-16,4.18,4.0,4.55,4.82,4.91,4.73,4.09,,f,207,207,0,0,0.09
